"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"722969773529681920","","","2016-04-21 02:06:40 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","真鍋先生の、キツキツに引き締めたズボン感 が可愛い","","","",""
"722795841639985152","722714646013165569","1970738630","2016-04-20 14:35:32 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@nakamurubasu 読めば書いてるよー","","","",""
"722712858505711616","","","2016-04-20 09:05:47 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","例年通りで進化しようとしない
マンネリ化したゴミ。","","","",""
"722712402438025220","","","2016-04-20 09:03:58 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","そろそろ行くか","","","",""
"722711572267798528","","","2016-04-20 09:00:40 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @kogakun_koga: ゴォーーッ、コーガくんです★ 今日は山梨の高校に工学院大学の紹介をしに行ったよ! https://t.co/WTopTOIqp9","722690567285645313","1263650167","2016-04-20 07:37:12 +0000","http://twitter.com/kogakun_koga/status/722690567285645313/photo/1,http://twitter.com/kogakun_koga/status/722690567285645313/photo/1"
"722711529175543815","","","2016-04-20 09:00:30 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @shinjuku_rengou: こんにちは！

4月28日（木）19時半から、B-0563教室にて、アニメのクイズ大会を行います！

その名も…
「工学院王者 アニキング！」

本日昼休みに地下1階にて参加受付を行っているので、興味のある方はぜひいらしてください！ h…","722636030294245380","1324010234","2016-04-20 04:00:30 +0000","http://twitter.com/shinjuku_rengou/status/722636030294245380/photo/1,http://twitter.com/shinjuku_rengou/status/722636030294245380/photo/1"
"722362819153235968","","","2016-04-19 09:54:51 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","なんだかんだ物品の間に合った。
強めの広報。","","","",""
"722360444304797696","","","2016-04-19 09:45:25 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","コンビニで、店員に説教してるおじさん見つけた","","","",""
"722357428499521536","","","2016-04-19 09:33:26 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","明日はこの時間帯に家でても、間に合う。","","","",""
"722299187107237888","","","2016-04-19 05:42:00 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","40分までだから、
15:40まで休憩じゃないのかな","","","",""
"722297495498280960","","","2016-04-19 05:35:17 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","誰やねんww","","","",""
"722207344222810112","","","2016-04-18 23:37:03 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ソフトウェア設計、位野木先生もう待機してる。","","","",""
"722195201570123776","","","2016-04-18 22:48:48 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","最近朝が早い。","","","",""
"722015315891126272","","","2016-04-18 10:54:00 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","セミナー 希望通りだった。","","","",""
"721222039760019456","","","2016-04-16 06:21:48 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","連室誰も居なかった","","","",""
